offset,mean,median,hit_rate,n
4458,242.56727782787297,234,0.0,9981
4459,249.0484387510008,240.0,0.0,9992
4460,247.87984379693603,240,0.0,9987
4461,254.05102040816325,242.0,0.0,9996
4462,262.9290645322661,252,0.0,9995
4463,249.02692962258484,236,0.0,9989
4464,249.0365022061773,238.0,0.0,9972
4465,248.47919799498746,236,0.0,9975
4466,242.84856999498243,230,0.0,9965
4467,249.98998297105078,236,0.0,9983
4468,242.48326317899378,230.0,0.0,9978
4469,246.03543543543543,236.0,0.0,9990
4470,246.9579663730985,240.0,0.0,9992
4471,236.78186004605067,228,0.0,9989
4472,245.99759639459188,238,0.0,9985
4473,253.6073361395069,244.0,0.0,9978
4474,241.89209787404732,232.0,0.0,9972
4475,245.6129872732739,236,0.0,9979
4476,252.0298417784899,242.0,0.0,9986
4477,246.47893525467828,234,0.0,9993
4478,244.87068015626565,236,0.0,9983
4479,247.22078702313007,234,0.0,9987
4480,247.2709980979077,236,0.0,9989
4481,255.89635124298317,242.0,0.00010024057738572574,9976
4482,255.51197034959432,246,0.0,9983
4483,256.11681025846525,238.0,0.0,9982
4484,245.78253904685621,236.0,0.0,9988
4485,253.90559230306675,244.0,0.0,9978
4486,239.50751051472062,230.0,0.0,9986
4487,245.4576610882854,236,0.0,9979
4488,236.7160172292898,228,0.0,9983
4489,252.35830162227117,240.0,0.0,9986
4490,264.36582189722526,254,0.0,9983
4491,248.3341011517276,238,0.0,9985
4492,242.86400961345885,230.0,0.0,9986
4493,246.44727090635953,234,0.0,9985
4494,241.24251227086046,230,0.0,9983
4495,237.2003601080324,228,0.0,9997
4496,248.02423150095123,236,0.0,9987
4497,245.16244112636537,236,0.0,9979
4498,254.47032923046132,248,0.0,9993
4499,256.9014225606091,246.0,0.0,9982
4500,244.27509517130835,234.0,0.0,9982
4501,240.45023554174603,230,0.0,9977
4502,241.22280104187539,228.0,0.0,9982
4503,258.8800240553272,246,0.0,9977
4504,237.35391400220507,228,0.0,9977
4505,242.03225483321646,230,0.0,9983
4506,260.94997493734337,246,0.0,9975
4507,254.76136021667168,240,0.0,9969
4508,251.28276138872167,238.0,0.0,9966
4509,244.54620246814488,232,0.0,9967
4510,246.64904375688394,232,0.0,9987
4511,259.40284455128204,248.0,0.0,9984
4512,252.8614089588135,230,0.0,9979
4513,262.04507211538464,246.0,0.0,9984
4514,252.26426426426426,242.0,0.0,9990
4515,245.65110220440883,236.0,0.0,9980
4516,247.1277427111512,238,0.0,9981
4517,252.35767959122333,240,0.0,9981
4518,244.26534494843295,234,0.0,9987
4519,255.09933907470457,244.0,0.0,9986
4520,266.07172192727637,252,0.0,9983
4521,235.28035231708537,228,0.0,9991
4522,241.3300611038766,232,0.0,9983
4523,244.90155232849273,236,0.0,9985
4524,244.8613504307754,234.0,0.0,9982
4525,244.0038064710007,236,0.0,9983
4526,255.94613536243492,246.0,0.0,9988
4527,254.44455564451562,242.0,0.0,9992
4528,259.37798275516343,246.0,0.0,9974
4529,239.20008011215702,230.0,0.0,9986
4530,243.6203165698257,234.0,0.0,9982
4531,248.31423993591028,240.0,0.0,9986
4532,249.07354709418837,236.0,0.0,9980
4533,264.6319061465958,254,0.0,9973
4534,252.48741854636592,230,0.0,9975
4535,252.28534162737031,240,0.0,9967
4536,254.93850160256412,236.0,0.0,9984
4537,248.15288924558587,232.0,0.0,9968
4538,249.3314646110722,240,0.0,9989
4539,265.5020514360052,252,0.0,9993
4540,254.81394649834687,246,0.0,9981
4541,258.60765838011224,246.0,0.0,9976
4542,247.70089330522936,232,0.0,9963
4543,246.12363490632202,236,0.0,9981
4544,254.43466907703123,242,0.0,9957
4545,248.22282390693942,236.0,0.0,9972
4546,262.21994987468673,246,0.0,9975
4547,249.6496043273565,240,0.0,9983
4548,250.2913535717864,236,0.0,9981
4549,254.61274804570053,244.0,0.0,9978
4550,238.12386010622308,228,0.0001002104419280489,9979
4551,264.07477197554374,236,0.0,9977
4552,249.012328355217,236,0.0,9977
4553,252.4128128128128,242.0,0.0,9990
4554,269.47845259571056,254.0,0.0,9978
4555,254.91590658514585,242,0.0,9977
4556,259.92746217813846,246,0.0,9981
4557,265.1365047571357,252,0.0,9985
4558,249.8234115053117,234.0,0.0,9978
4559,245.0498245614035,232,0.0,9975
4560,262.8107891306528,248,0.0,9973
4561,252.7280921382073,244,0.0,9985
4562,256.1400622052774,236,0.0,9967
4563,246.45997993981945,230.0,0.0,9970
4564,245.65927560951138,230,0.0,9967
4565,243.96994891315236,230,0.0,9983
4566,256.82381238725196,246.0,0.0,9978
4567,240.9612418627942,230,0.0,9985
4568,250.30919136112507,232,0.0,9955
4569,248.83400080096115,240.0,0.0,9988
4570,269.0445068163593,254.0,0.0,9976
4571,244.42197053222412,232,0.0,9977
4572,249.3490188225871,240.0,0.0,9988
4573,247.53360713212462,236,0.0,9983
4574,245.41208295761948,228,0.0,9981
4575,245.64605671911013,238,0.0,9979
