stride,access_size,test_ptr,mean,median,hit_rate,n
1,4,44,326.96409640964094,280,0.0,9999
1,4,45,290.41004100410044,272,0.0,9999
1,4,46,337.1248,272.0,0.0,10000
1,4,47,278.7826,266.0,0.0,10000
1,4,48,291.9256,266.0,0.0,10000
1,4,49,325.28565713142626,272.0,0.0,9998
1,4,50,318.2574,266.0,0.0,10000
1,4,51,307.3714,272.0,0.0,10000
1,4,52,302.45729145829165,266.0,0.0,9998
1,4,53,337.5206,280.0,0.0,10000
1,4,54,319.0278,272.0,0.0,10000
1,4,55,329.8584,266.0,0.0,10000
1,4,56,332.36983698369835,274,0.0,9999
1,4,57,290.007400740074,272,0.0,9999
1,4,58,313.338,272.0,0.0,10000
1,4,59,308.605,274.0,0.0,10000
1,4,60,318.4228,266.0,0.0,10000
1,4,61,317.2988,272.0,0.0,10000
1,4,62,300.9094909490949,274,0.0,9999
1,4,63,332.4288,280.0,0.0,10000
1,4,64,321.5915591559156,266,0.0,9999
1,4,65,316.7962796279628,272,0.0,9999
1,4,66,309.183,272.0,0.0,10000
1,4,67,317.7006,272.0,0.0,10000
1,4,68,306.6224,274.0,0.0,10000
1,4,69,326.9306,282.0,0.0,10000
1,4,70,313.2571257125713,266,0.0,9999
1,4,71,329.6316,266.0,0.0,10000
1,4,72,289.59,272.0,0.0,10000
1,4,73,321.6151615161516,272,0.0,9999
1,4,74,311.219,266.0,0.0,10000
1,4,75,348.8052,272.0,0.0,10000
1,4,76,334.768,272.0,0.0,10000
1,4,77,323.93279327932794,272,0.0,9999
1,4,78,326.23942394239424,272,0.0,9999
1,4,79,340.6754,282.0,0.0,10000
1,4,80,315.57,266.0,0.0,10000
1,4,81,312.0772077207721,274,0.0,9999
1,4,82,284.0098,266.0,0.0,10000
1,4,83,322.5062506250625,266,0.0,9999
1,4,84,334.5469093818764,280.0,0.0,9998
1,4,85,324.4168,274.0,0.0,10000
1,4,86,317.53975397539756,272,0.0,9999
1,4,87,330.4336,266.0,0.0,10000
1,4,88,311.0162,266.0,0.0,10000
1,4,89,300.1496,272.0,0.0,10000
1,4,90,301.7204,272.0,0.0,10000
1,4,91,295.2152,272.0,0.0,10000
1,4,92,295.3132,272.0,0.0,10000
1,4,93,310.252450490098,272.0,0.0,9998
1,4,94,336.9288,272.0,0.0,10000
1,4,95,320.63006300630065,266,0.0,9999
1,4,96,357.07950795079506,282,0.0,9999
1,4,97,333.50815081508154,272,0.0,9999
1,4,98,289.6127612761276,272,0.0,9999
1,4,99,277.6568,266.0,0.0,10000
1,5,0,308.6818,272.0,0.0,10000
1,5,1,319.3688,272.0,0.0,10000
1,5,2,303.6751675167517,266,0.0,9999
1,5,3,317.2512,272.0,0.0,10000
1,5,4,307.23312331233126,266,0.0,9999
1,5,5,297.7873787378738,266,0.0,9999
1,5,6,303.2306,272.0,0.0,10000
1,5,7,302.204,266.0,0.0,10000
1,5,8,307.27072707270725,266,0.0,9999
1,5,9,327.8983796759352,272.0,0.0,9998
1,5,10,307.33326665333067,282.0,0.0,9998
1,5,11,305.82196439287856,266.0,0.0,9998
1,5,12,293.7876,266.0,0.0,10000
1,5,13,310.6706,272.0,0.0,10000
1,5,14,304.46524652465246,282,0.0,9999
1,5,15,328.5178,272.0,0.0,10000
1,5,16,349.48129625925185,266.0,0.0,9998
1,5,17,293.2197219721972,266,0.0,9999
1,5,18,325.5292,266.0,0.0,10000
1,5,19,330.36223622362235,272,0.0,9999
1,5,20,284.1052,266.0,0.0,10000
1,5,21,343.3260652130426,272.0,0.0,9998
